university,fraternity,location,mailing_address,chapter_address,letter index,skip,mailed,suspended recentlyish,contact name,email,phone,status
UC Berkeley,Delta Upsilon,Berkeley,"Name	Delta Upsilon House Asn
C/O Charles L Kavanagh
Address	708 Carolan Ave
Burlingame, CA 94010","2425 Warring St, Berkeley, CA 94704",0,0,1,,,,,
UC Berkeley,Lambda Chi Alpha,Berkeley,"Name	Mu Zeta Of Lambda Chi Alpha
C/O Smith & Taylor Frat
Address	256 Calle La Mesa 100
Moraga, CA 94556","2421 Prospect St, Berkeley, CA 94704",0,1,1,,,,,
UC Berkeley,Lambda Phi Epsilon,Berkeley,,,0,0,0,,,,,
UC Berkeley,Kappa Alpha Order,Berkeley,"Name	Alpha Xi Building Assn
C/O Ryan Ledwith
Address	96 Holmes Ave
Darien, CT 06820","2425 Piedmont Ave, Berkeley, CA 94704",0,0,1,,,,,
UC Berkeley,Kappa Delta Rho,Berkeley,"Name	Lambda Of Kappa Delta Rho Inc
C/O Murray Stok & C. Cpa
Address	235 Montgomery St 460
San Francisco, CA 94104","2739 Channing Way, Berkeley, CA 94704",0,0,1,,,,,
UC Berkeley,Phi Delta Theta,Berkeley,"Name	California Alpha Association
Address	PO Box 4338
Berkeley, CA 94704","2726 Channing Way, Berkeley, CA 94704",0,0,1,,,,,
UC Berkeley,Phi Gamma Delta,Berkeley,NA,"Channing Way, Berkeley, CA 94704",0,0,0,,,,,
UC Berkeley,Phi Kappa Psi,Berkeley,"Name	Housing Corp For Ca Gamma Chap Of Phi Kappa Psi
C/O S & T Fraternity Mgt
Address	PO Box 6688
Moraga, CA 94570","2424 Warring St, Berkeley, CA 94704",0,1,1,,,,,
UC Berkeley,Phi Kappa Tau,Berkeley,"Name        Phi Kappa Tau Of Berkeley
C/O Mr. Todd Morgan
Address        PO Box 12688 Lks-16
Oakland, CA 94604","2335 Piedmont Ave, Berkeley, CA 94704",0,0,1,,,,,
UC Berkeley,Pi Kappa Alpha,Berkeley,"Name        Alpha Sigma Building Association
C/O S & T Fraternity Mgmt
Address        256 Calle La Mesa
Moraga, CA 94556","2324 Piedmont Ave, Berkeley, CA 94704",0,1,1,,,,,
UC Berkeley,Pi Kappa Phi,Berkeley,"Name	Pi Kappa Phi Alumni Association
C/O Smith & Taylor
Address	256 Calle La Mesa 100
Moraga, CA 94556","2908 Channing Way, Berkeley, CA 94704",0,1,1,,,,,
UC Berkeley,Pi Lambda Phi,Berkeley,"Name	Pi Lambda Phi Alumni
C/O Jeff Baker
Address	1246 Mason St
San Francisco, CA 94108","University of California, 2727 Channing Way, Berkeley, CA 94704",0,0,1,,,,,
UC Berkeley,Sigma Alpha Epsilon,Berkeley,,"2722 Bancroft Way, Berkeley, CA 94704",https://www.bostonprivate.com/,1,0,,,,,
UC Berkeley,Sigma Alpha Mu,Berkeley,"Name	Sigma Sigma Chapter Sigma Alpha Mu Housing Corp
C/O Sam Property Mgt
Address	8701 Founders Rd
Indianapolis, IN 46268","2714 Durant Ave, Berkeley, CA 94704",0,0,1,,,,,
UC Berkeley,Sigma Chi,Berkeley,"Name	Alpha Beta Hall
C/O Jeff Bordalampe
Address	357 Cliffside Dr
Danville, CA 94526","2345 College Ave, Berkeley, CA 94704",0,0,1,,,,,
UC Berkeley,Sigma Nu,Berkeley,"Name	Sigma Nu Bldg Assn
C/O Mason S Brutschy
Address	PO Box 755
Menlo Park, CA 94026","2710 Bancroft Way, Berkeley, CA 94704",0,0,1,,,,,
UC Berkeley,Sigma Phi Epsilon,Berkeley,"Name	Beta Theta Pi Omega House Corporation
Address	183 St Germain Ave
San Francisco, CA 94114","2728 Channing Way, Berkeley, CA 94704",0,0,1,,,,,
UC Berkeley,Sigma Pi,Berkeley,"Name	Iota Building Company Of The Sigma Pi Fraternity
C/O S&T Fraternity Mgmt
Address	P.o. Box 6688
Moraga, CA 94570","2434 Warring St, Berkeley, CA 94704",0,1,1,,,,,
UC Berkeley,Tau Kappa Epsilon,Berkeley,"Name	Nu Of Tau Kappa Epsilon Inc
C/O S&T Fraternity Manag
Address	PO Box 6688
Moraga, CA 94570","2725 Channing Way, Berkeley, CA 94704",0,1,1,,,,,
UC Berkeley,Theta Chi,Berkeley,"Name	Mu Chapter Association
Address	3000 San Jose Ave
Alameda, CA 94501","2499 Piedmont Ave, Berkeley, CA 94704",0,0,1,,,,,
UC Berkeley,Theta Delta Chi,Berkeley,"Name        Delta Deuteron Bldg Asn
C/O Martin Smith
Address        256 Calle La Mesa 100
Moraga, CA 94556","2647 Durant Ave, Berkeley, CA 94704",0,0,1,,,,,
UC Berkeley,Zeta Psi,Berkeley,"Name	Zeta Psi Alumni Association
C/O Philip S Boone Jr
Address	2728 Bancroft Way
Berkeley, CA 94704","2728 Bancroft Way, Berkeley, CA 94704",0,0,1,,,,,
UW,Acacia,Seattle,,"5220 19th Ave NE, Seattle, WA 98105",0,0,0,,,,,
UW,Alpha Sigma Phi,Seattle,"ALPHA SIGMA PHI	
5048 Roosevelt Way Ne
Seattle, WA, 98105","4554 19th Ave NE, Seattle, WA 98105",0,0,1,,,,,
UW,Alpha Delta Phi,Seattle,"NW ALUMNI OF PACIFIC  Corporate Owner        
3326 43Rd Ave Ne
Seattle, WA, 98105","2106 NE 47th St, Seattle, WA 98105",2,0,1,,,,,
UW,Alpha Delta Phi,Seattle,"NW ALUMNI OF PACIFIC        
3007 12Th Ave W
Seattle, WA, 98119","2106 NE 47th St, Seattle, WA 98105",2,0,1,,,,,
UW,Alpha Tau Omega,Seattle,"MICHAEL WILLIAMS	
5027 19Th Ave Ne
Seattle, WA, 98105","4706 17th Ave. NE, Seattle, WA 98105",2,0,1,,,,,
UW,Beta Theta Pi,Seattle,"Beta Theta Pi	
5048 Roosevelt Way Ne
Seattle, WA, 98105","1617 NE 47th St, Seattle, WA 98105",3,1,0,1,,,,
UW,Chi Psi,Seattle,"ALPHA THETA DELTA ALUMNI         
1001 4Th Ave Ste 4200
Seattle, WA, 98154
","4600 22nd Ave. NE, Seattle, WA 98105",0,0,1,,,,,
UW,Delta Tau Delta,Seattle,"RAINBOW SOCIETY INC Corporate Owner	
4616 25Th Ave Ne
Seattle, WA, 98105
","4524 19th Ave. NE, Seattle, WA 98105",0,0,1,,,,,
UW,Delta Upsilon,Seattle,"TYLER OPP	
2606 116Th Ave Ne Ste 200
Bellevue, WA, 98004","4508 19th Ave NE, Seattle, WA 98105",0,1,1,1,,tyler@bentonbray.com,"sent him an email, he'll be back in the office 11/11",
UW,Delta Upsilon,Seattle,"DELTA UPSILON FRATERNITY	
4616 25Th Ave Ne
Seattle, WA, 98105","4508 19th Ave NE, Seattle, WA 98105",,1,1,1,,,,
UW,Kappa Alpha Order,Seattle,"PONTIUS PARTNERS LLC Corporate Owner	
2613 Sw Nevada St
Seattle, WA, 98105
","4708 18th Ave. NE, Seattle, WA 98105",1,0,1,,,,,
UW,Kappa Sigma,Seattle,"BETA-PSI BUILDING BOARD Corporate Owner	
14011 241St Pl Se
Issaquah, WA, 98027","4543 18th Ave. NE, Seattle, WA 98105",0,0,1,,,,,
UW,Lambda Chi Alpha,Seattle,"LAMBDA CHI ALPHA HOUSE CORP Corporate Owner        
Po Box 45144
Seattle, WA, 98145
","4509 19th Ave. NE, Seattle, WA 98105",0,0,1,,,,,
UW,Phi Delta Theta,Seattle,"WASH PHIKEIA INC Corporate Owner	
11808 Northup Way
Bellevue, WA, 98005
","2111 NE 47th St., Seattle, WA 98105",2,0,1,,,,,
UW,Phi Gamma Delta,Seattle,"SIGMA TAU ASSN Corporate Owner        
19561 27Th Ave Nw
Shoreline, WA, 98177
","4503 17th Ave. NE, Seattle, WA 98105",0,0,1,,,,,
UW,Phi Kappa Psi,Seattle,"PHI KAPPA PSI
Po Box 1804
Seattle, WA, 98111","2120 NE 47th St., Seattle, WA 98105",0,0,1,,,,,
UW,Phi Kappa Sigma,Seattle,"ALPHA UPSILON HOUSE CORP Corporate Owner	
12330 Ne 8Th St Ste 101
Bellevue, WA, 98103","4711 17th Ave. NE, Seattle, WA 98105",0,0,1,,,,,
UW,Phi Kappa Tau,Seattle,"PUGET SOUND ASSOC OF DELTA Corporate Owner	
2613 Sw Nevada St
Seattle, WA, 98126","1800 NE 47th St., Seattle, WA 98105",0,0,1,,,,,
UW,Pi Kappa Alpha,Seattle,,"4515 21st St. NE, Seattle, WA 98105",0,0,0,,,,,
UW,Pi Kappa Phi,Seattle,"ALPHA DELTA OF PI KAPPA PHI Corporate Owner	
1525 Taylor Ave N Apt 404
Lynnwood, WA, 98036
","4530 17th Ave. NE, Seattle, WA 98105",0,0,1,,,,,
UW,Psi Upsilon,Seattle,"PSI UPSILON ALUMNI ASSN INC Corporate Owner	
Po Box 14056
Seattle, WA, 98114
","1818 NE 47th St, Seattle, WA 98105",0,0,1,,,,,
UW,Sigma Alpha Epsilon,Seattle,"SAE ALUMNI ASSOCIATION Corporate Owner	
4616 25Th Ave Ne
Seattle, WA, 98105
","4506 17th Ave. NE, Seattle, WA 98105, Seattle, WA 98105",0,0,1,,,,,
UW,Sigma Chi,Seattle,"SIGMA CHI BLDG ASSOC Corporate Owner	
5048 Roosevelt Way Ne
Seattle, WA, 98105","4505 18th Ave. NE, Seattle, WA 98105",0,0,1,,,,,
UW,Sigma Nu,Seattle,"GAMMA CHI CLUBHOUSE 
5048 Roosevelt Way Ne
Seattle, WA, 98105
","1616 NE 47th St., Seattle, WA 98105",0,0,1,,,,,
UW,Sigma Phi Epsilon,Seattle,"SIGMA PHI EPSILON BUILDING	
Po Box 19367
Seattle, WA, 98109
","4637 21st Ave. NE, Seattle, WA 98105",0,0,1,,,,,
UW,Sigma Phi Epsilon,Seattle,"SIGMA PHI EPSILON
310 S Arthur Ashe Blvd
Richmond, VA, 23220
","4637 21st Ave. NE, Seattle, WA 98105",0,0,1,,,,,
UW,Tau Kappa Epsilon,Seattle,"CHI OF TAU KAPPA EPSILON BLDG Corporate Owner
C/O David D Powell
5815 Ann Arbor Ave NE 
Seattle, WA, 98105","4520 21st Ave. NE, Seattle, WA 98105",0,0,1,,,,,
UW,Theta Chi,Seattle,"THETA CHI        
5048 Roosevelt Way Ne
Seattle, CA, 94570","4535 17th Ave. NE, Seattle, WA 98105",0,0,1,,,,,
UW,Theta Delta Chi,Seattle,"XI DEUTERON CORP Corporate Owner	
4616 25Th Ave Ne
Seattle, WA, 98105
","4532 19th Ave. NE, Seattle, WA 98105",0,0,1,,,,,
UW,Theta Xi,Seattle,"CAMPUS CORP OF THETA XI Corporate Owner	
3901 Stone Way N Ste 202
Seattle, WA, 98103","4522 18th Ave. NE, Seattle, WA 98105",0,1,0,,,,,
UW,Zeta Beta Tau,Seattle,"ZBT WASHINGTON BLDG ASSOC Corporate Owner	
5048 Roosevelt Way Ne
Seattle, WA, 98105","4626 21st. Ave. NE, Seattle, WA 98105",0,0,1,,,,,
UW,Zeta Psi,Seattle,"PHI LAMBDA ELDER CHAPTER  
4616 25Th Ave Ne
Seattle, WA, 98105","4703 21st Ave. NE, Seattle, WA 98105",0,0,1,,,,,
UT,Alpha Epsilon Pi,Austin,"Name	Gamma Deuteron Housing Corporation & Alpha Episilon Pi Fraternity
Address	8815 Wesleyan Rd
Indianapolis, IN 46268","2807 Rio Grande St, Austin, TX 78705",0,0,1,,,,,
UT,Beta Theta Pi,Austin,,,0,0,0,,,,,
UT,Delta Kappa Epsilon,Austin,"Name	2515 Pearl LLC
Address	2813 Rio Grande
Austin, TX 78705
","2515 Pearl Street, Austin, TX 78705",2,0,1,,,,,
UT,Delta Sigma Phi,Austin,"Name        Alumni Corp Of Eta Chapter Of Delta Sigma Phi Fraternity
Address        PO Box 50052
Austin, TX 78763","706 W 26th St, Austin, TX 78705",0,0,1,,,,,
UT,Delta Tau Delta,Austin,"Name	Delta Tau Delta Building Assn & Russell Douglass
Address	PO Box 162731
Austin, TX 78716","2801 San Jacinto, Austin, Tx 78705",0,0,1,,,,,
UT,Delta Upsilon,Austin,"Name	Texas Delta Upsilon Foundation & Bill Bryant
Address	303 Colorado St #2300
Austin, TX 78701","2305 Leon St. Austin, TX 78705",0,0,1,,,,,
UT,Kappa Alpha Order,Austin,"Name        UT Omicron Educational Corporation
Address        3600 N Capital Of Texas Highway Bldg B #250
Austin, TX 78746","2515 Leon St, Austin, TX 78705",0,0,1,,,,,
UT,Kappa Sigma,Austin,"Name        Texas Kappa Sigma Educational Foundation Inc
Address        P O Box 470061
Fort Worth, TX 76147","1002 W 26th St, Austin, TX 78705",0,0,1,,,,,
UT,Lambda Chi Alpha,Austin,"Name        East Family 1994 Trust For Lica Elena East Pinkston
Address        PO Box 1277
Alice, TX 78333","2808 San Pedro St, Austin, TX 78705",2,0,1,,,,,
UT,Phi Delta Theta,Austin,"Name        Michael Little
Address        3401 Guadalupe St
Austin, TX 78705","715 Graham Pl, Austin, TX 78705",2,0,1,,,,,
UT,Phi Gamma Delta,Austin,"Name	Tau Deuteron Of Phi Gamma Delta House Corp
Address	PO Box 4769
Austin, TX 78765","300 W. 27th St.Austin, TX 78705",0,0,1,,,,,
UT,Phi Kappa Psi,Austin,"Name	Texas Alpha House Board Inc
Address	PO Box 28061
Austin, TX 78755","2500 San Antonio St., Austin, TX 78705",0,0,1,,,,,
UT,Phi Kappa Sigma,Austin,"Name	Sigma Alumni Corporation
Address	900 Congress Ave #300
Austin, TX 78701","2402 Rio Grande Street, Austin TX 78705",0,0,1,,,,,
UT,Phi Kappa Tau,Austin,,,0,0,0,,,,,
UT,Phi Kappa Theta,Austin,,,0,0,0,,,,,
UT,Pi Kappa Alpha,Austin,"Name	Beta Mu Building Co Inc & Donald R Flournoy
Address	3502 Windsor Rd
Austin, TX 78703","2400 Leon St, Austin, TX 78705",0,0,1,,,,,
UT,Pi Kappa Phi,Austin,"Name        Pi Kappa Phi Properties Inc
Address        PO Box 240526
Charlotte, NC 28224","2411 Longview Street, Austin, TX 78705",3,0,0,1,https://www.kvue.com/article/news/education/university-of-texas/ut-austin-pi-kappa-phi-banned/269-75cbe0d0-a110-4c62-bb4f-cd737a90390e,,,
UT,Pi Kappa Phi,Austin,"Pi Kappa Phi Properties Inc.
2015 Ayrsley Town Boulevard, Suite 200
Charlotte, NC 28273","2411 Longview Street, Austin, TX 78705",3,0,0,1,,,,
UT,Sigma Alpha Mu,Austin,"Name	Sigma Alpha Mu Inc
Address	3345 Bee Cave Rd #208
Austin, TX 78746","2501 Leon St, Austin, TX 78705",0,0,1,,,,,
UT,Sigma Chi,Austin,"Name	Alpha Nu Chapter Of Sigma Chi & Linden Welsch
Address	PO Box 201225
Austin, TX 78720","2701 Nueces Street, Austin, TX 78705",0,0,1,,,,,
UT,Sigma Phi Epsilon,Austin,,"2500 Pearl St, Austin, TX 78705",0,0,0,,,,,
UT,Sigma Pi,Austin,,,0,0,0,,,,,
UT,Tau Kappa Epsilon,Austin,,,0,0,0,,,,,
UT,Texas Rho,Austin,"Name        Texas Rho House Corporation
Address        6850 Austin Center Blvd #100
Austin, TX 78731","2414 Pearl St, Austin, TX 78705",3,0,0,1,,,,
UT,Texas Rho,Austin,"CAPITOL CORPORATE SERVICES, INC.
206 E. 9TH ST., STE. 1300 
AUSTIN, TX 78701","2414 Pearl St, Austin, TX 78705",3,0,0,1,,,,
UT,Texas Rho,Austin,"TRAVIS A BOLCIK
2856 S. ALAMEDA 
CORPUS CHRISTI, TX 78404","2414 Pearl St, Austin, TX 78705",3,0,0,1,,,,
UT,Theta Chi,Austin,"Name        Aaron S Reisfield 
Address        1178 San Bernard St
Austin, TX 78702","1908 San Gabriel St, Austin, TX 78705",2,0,1,,,,,
UT,Zeta Psi,Austin,"Name        Zeta Psi Of Texas Inc
Address        3515 Highland View Dr
Austin, TX 78731","2806 Nueces St., Austin, Tx 78705",0,0,1,,,,,
UT,Zeta Beta Tau,Austin,"Name	Zeta Beta Tau & Lambda Chapter House
Address	10040 Circleview Dr
Austin, TX 78733","710 W 28th St, Austin, TX 78705",0,0,1,,,,,
USD,Beta Theta Pi,San Diego,,NA,0,0,0,,,,,
USD,Delta Tau Delta,San Diego,,NA,0,0,0,,,,,
USD,"Nu Alpha Kappa Fraternity, Inc.",San Diego,,NA,0,0,0,,,,,
USD,Phi Gamma Delta,San Diego,,NA,0,0,0,,,,,
USD,Phi Kappa Theta,San Diego,,NA,0,0,0,,,,,
USD,Pi Kappa Phi,San Diego,,NA,0,0,0,,,,,
USD,Sigma Phi Epsilon,San Diego,,NA,0,0,0,,,,,
USD,Sigma Pi,San Diego,,NA,0,0,0,,,,,
SDSU,Alpha Epsilon Pi,San Diego,"Name	San Diego Teke Corp
C/O Ted Considine
Address	8989 Rio San Diego Dr #250
San Diego, CA 92108","5064 College Pl, San Diego, CA 92115",0,0,1,,,,,
SDSU,Delta Sigma Phi,San Diego,"Name        Gamma Alpha Chapter- Alumni Corpboard
Address        9984 Scripps Ranch Blvd #133
San Diego, CA 92131","5560 Hardy Ave, San Diego, CA 92115",0,0,1,,,,,
SDSU,Delta Upsilon,San Diego,"Name        Delta Upsilon Fraternity Alumni Assn Inc
Address        P O Box 99120 San Diego Ca","5545 Hardy Ave, San Diego, CA 92115",0,0,1,,,,,
SDSU,Kappa Sigma,San Diego,"Name	Kappa Sigma Bldg Assn Epsilon Iota Chapter
Address	3437 Browning St
San Diego, CA 92106","5565 Aztec Walk, San Diego, CA 92115",0,0,1,,,,,
SDSU,Kappa Alpha Order,San Diego,"Name        San Diego College Properties LLC
C/O Susan Berlin
Address        3860 Riviera Dr #301
San Diego, CA 92109","5071 College Ave, San Diego, CA 92115",3,0,0,1,,,,
SDSU,Phi Delta Theta,San Diego,"Name        San Diego State University Foundation
C/O Steven A Bloom 
Address        5250 Campanile Dr
San Diego, CA 92182","5734 Montezuma Rd, San Diego, CA 92115",0,0,1,,,,,
SDSU,Phi Gamma Delta,San Diego,"AZTEC SHOPS LTD Corporate Owner	
5500 Campanile Dr
San Diego, CA, 92182","5804 Montezuma Rd, San Diego, CA 92115",0,0,1,,,,,
SDSU,Phi Kappa Psi,San Diego,"Name        California Lambda Phi Kappa Psi Housing Corp
Address        P O Box 310033
Guatay, CA 91931","5525 Aztec Walk, San Diego, CA 92115",0,0,1,,,,,
SDSU,Pi Kappa Alpha,San Diego,"AZTEC SHOPS LTD Corporate Owner	
5500 Campanile Dr
San Diego, CA, 92182","5545 Aztec Walk, San Diego, CA 92115",0,0,1,,,,,
SDSU,Sigma Alpha Epsilon,San Diego,"CALIFORNIA THETA CHAPTER HOUSE ASSN Corporate Owner	
P O Box 236131
Encinitas, CA, 92023","5076 College Pl, San Diego, CA 92115",0,0,1,,,,,
SDSU,Sigma Chi,San Diego,,NA,0,0,0,,,,,
SDSU,Sigma Nu,San Diego,"Name        Montezuma Mesa Properties Inc
C/O James E Stark
Address        P O Box 502442
San Diego, CA 92150","5505 Aztec Walk, San Diego, CA 92115",0,0,1,,,,,
SDSU,Sigma Phi Epsilon,San Diego,"Name	Bayport Bunsen Associates LP
Address	3090 Pullman St
Costa Mesa, CA 92626","5712 Hardy Ave, San Diego, CA 92115",0,0,1,,,,,
SDSU,Theta Chi,San Diego,"Name        Gamma Theta Alumni Assn Of Theta Chi Fraternity Inc
Address        8880 Rio San Diego Dr #750
San Diego, CA 92108","5505 Lindo Paseo, San Diego, CA 92115",0,0,1,,,,,
SDSU,Zeta Beta Tau,San Diego,,NA,0,0,0,,,,,
University of Illinois at Chicago,Alpha Epsilon Pi,,,NA,0,0,0,,,,,
University of Illinois at Chicago,Omega Delta,,,NA,0,0,0,,,,,
University of Illinois at Chicago,Phi Kappa Psi,,,NA,0,0,0,,,,,
University of Illinois at Chicago,Sigma Alpha Mu,,,NA,0,0,0,,,,,
University of Illinois at Chicago,Tau Kappa Epsilon,,,NA,0,0,0,,,,,
University of Illinois at Chicago,Theta Xi,,,NA,0,1,0,,,,,
Northwestern,Alpha Epsilon Pi,,,"584 Lincoln St, Evanston, IL 60201",0,0,0,,,,,
Northwestern,Delta Chi,,,"2309 Sheridan Rd, Evanston, IL 60201",0,0,0,,,,,
Northwestern,Delta Tau Delta,,,"2317 Sheridan Rd, Evanston, IL 60201",0,0,1,,,,,
Northwestern,Delta Upsilon,,,,0,0,0,,,,,
Northwestern,Evans Scholars,,,"721 University Pl, Evanston, IL 60201",0,0,0,,,,,
Northwestern,Lambda Chi Alpha,,,"2339 Sheridan Rd, Evanston, IL 60201",0,0,0,,,,,
Northwestern,Phi Delta Theta,,,"2347 Sheridan Rd, Evanston, IL 60201",0,0,0,,,,,
Northwestern,Phi Gamma Delta,,,"2331 Sheridan Rd, Evanston, IL 60201",0,0,0,,,,,
Northwestern,Phi Kappa Psi,,,"2247 Sheridan Rd, Evanston, IL 60201",0,0,0,,,,,
Northwestern,Phi Mu Alpha Sinfonia,,,,0,0,0,,,,,
Northwestern,Pi Kappa Alpha,,,,0,0,0,,,,,
Northwestern,Sigma Alpha Epsilon,,,,0,0,0,,,,,
Northwestern,Sigma Chi,,,"2249 Sheridan Rd, Evanston, IL 60201",0,0,0,,,,,
Northwestern,Sigma Nu,,,"2335 Sheridan Rd, Evanston, IL 60208",0,0,0,,,,,
Northwestern,Sigma Phi Epsilon,,,,0,0,0,,,,,
Northwestern,Zeta Beta Tau,,,"2251 Sheridan Rd, Evanston, IL 60201",0,0,0,,,,,
Occidental,Alpha Phi Alpha,NA,,,0,0,0,,,,,
Occidental,Kappa Alpha Psi,NA,,,0,0,0,,,,,
Occidental,Phi Kappa Psi,NA,,,0,0,0,,,,,
Occidental,Sigma Alpha Epsilon,Los Angeles,"Name	Occidental College
Address	1600 Campus Rd
Los Angeles, CA 90041","4909 Range View Ave, Los Angeles, CA 90042",0,1,1,,,,,
Georgetown,Alpha Epsilon Pi,Washington D.C.,,NA,0,0,0,,,,,
Georgetown,Alpha Phi Alpha,Washington D.C.,,NA,0,0,0,,,,,
Georgetown,Delta Phi Epsilon,Washington D.C.,"Name	Delta Phi Epsilon
Address	PO Box 25401
Washington, DC 20007-8401","3401 Prospect St, Washington, DC 20007",0,0,1,,,,,
Georgetown,Phi Iota Alpha,Washington D.C.,,NA,0,0,0,,,,,
Georgetown,Sigma Alpha Epsilon,Washington D.C.,,NA,0,0,0,,,,,
Georgetown,Zeta Psi,Washington D.C.,,NA,0,0,0,,,,,
